,date,symbol,prev,open,high,low,last,close,avg,changed,p_change,volume,qpt,delivery,p_delivery,QPT_RATIO_20,DEL_RATIO_20,DEL_P_RATIO_20,VOL_RATIO_20
82,2022-11-02 18:30:00+00:00,abb,3170.8500,3159.15,3288.2,3135.1,3223.0000,3225.25,3229.7200,54.4000,1.6867,362379.0000,10.8237,96715.0000,26.6900,,,,
193,2022-11-03 18:30:00+00:00,abb,3225.2500,3235.0,3267.5,3201.0,3220.0000,3219.9,3228.7000,-5.3500,-0.1662,226208.0000,7.6733,104153.0000,46.0400,,,,
402,2022-11-06 18:30:00+00:00,abb,3219.9000,3240.0,3283.0,3208.0,3268.0000,3262.35,3255.5900,42.4500,1.3012,289197.0000,8.7798,121307.0000,41.9500,,,,
730,2022-11-08 18:30:00+00:00,abb,3262.3500,3292.0,3292.0,3090.0,3092.0000,3103.9,3162.2500,-158.4500,-5.1049,251189.0000,7.5412,93550.0000,37.2400,,,,
868,2022-11-09 18:30:00+00:00,abb,3103.9000,3103.9,3240.0,3054.5,3173.8500,3166.9,3177.5600,63.0000,1.9893,507653.0000,9.0317,121898.0000,24.0100,,,,
1027,2022-11-10 18:30:00+00:00,abb,3166.9000,3200.0,3222.0,3105.1,3139.9000,3155.85,3151.5600,-11.0500,-0.3501,692497.0000,10.8993,313690.0000,45.3000,,,,
1213,2022-11-13 18:30:00+00:00,abb,3155.8500,3156.0,3213.55,3011.1,3024.6000,3025.2,3072.5700,-130.6500,-4.3187,560133.0000,10.4974,176556.0000,31.5200,,,,
1497,2022-11-14 18:30:00+00:00,abb,3025.2000,3027.0,3080.0,3014.4,3020.0000,3027.85,3037.0300,2.6500,0.0875,383627.0000,10.8633,175258.0000,45.6800,,,,
1637,2022-11-15 18:30:00+00:00,abb,3027.8500,3043.95,3090.0,3012.0,3023.9000,3035.65,3052.5200,7.8000,0.2569,468068.0000,10.1814,185928.0000,39.7200,,,,
1767,2022-11-16 18:30:00+00:00,abb,3035.6500,3030.0,3135.0,3013.9,3110.0000,3122.2,3088.7900,86.5500,2.7721,632485.0000,12.4593,290925.0000,46.0000,,,,
1931,2022-11-17 18:30:00+00:00,abb,3122.2000,3125.0,3158.25,3062.75,3097.0000,3092.65,3113.9500,-29.5500,-0.9555,485570.0000,14.0794,250202.0000,51.5300,,,,
2110,2022-11-20 18:30:00+00:00,abb,3092.6500,3098.0,3120.0,3055.0,3076.8000,3082.95,3085.0200,-9.7000,-0.3146,374330.0000,10.0664,152885.0000,40.8400,,,,
2292,2022-11-21 18:30:00+00:00,abb,3082.9500,3089.0,3115.5,3043.05,3068.0000,3059.45,3069.7400,-23.5000,-0.7681,318799.0000,8.1355,173250.0000,54.3400,,,,
2628,2022-11-22 18:30:00+00:00,abb,3059.4500,3071.0,3108.85,3056.4,3097.3500,3099.3,3086.3600,39.8500,1.2858,331230.0000,10.8023,159176.0000,48.0600,,,,
2794,2022-11-23 18:30:00+00:00,abb,3099.3000,3114.0,3170.0,3101.05,3127.9500,3124.95,3132.8200,25.6500,0.8208,549566.0000,12.2770,207319.0000,37.7200,,,,
2950,2022-11-24 18:30:00+00:00,abb,3124.9500,3140.1,3159.0,3080.0,3100.0000,3090.85,3115.6600,-34.1000,-1.1033,340177.0000,9.7091,170550.0000,50.1400,,,,
3099,2022-11-27 18:30:00+00:00,abb,3090.8500,3100.0,3131.9,3087.15,3111.4000,3103.35,3105.6500,12.5000,0.4028,321071.0000,15.0738,203580.0000,63.4100,,,,
3341,2022-11-28 18:30:00+00:00,abb,3103.3500,3105.0,3113.5,3010.0,3013.9500,3015.2,3039.5500,-88.1500,-2.9235,383945.0000,9.9646,214643.0000,55.9000,,,,
3464,2022-11-29 18:30:00+00:00,abb,3015.2000,3021.9,3074.0,2979.0,3005.0000,3000.7,3003.5600,-14.5000,-0.4832,6409415.0000,64.4020,4476152.0000,69.8400,,,,
3620,2022-11-30 18:30:00+00:00,abb,3000.7000,3009.95,3030.0,2964.45,2988.9500,2993.85,3006.9300,-6.8500,-0.2288,499243.0000,12.2562,268629.0000,53.8100,0.92,0.68,1.18,0.69
3846,2022-12-01 18:30:00+00:00,abb,2993.8500,2995.35,3009.0,2922.2,2976.2000,2978.1,2958.2100,-15.7500,-0.5289,440688.0000,11.7664,239828.0000,54.4200,0.88,0.59,1.16,0.61
4142,2022-12-04 18:30:00+00:00,abb,2978.1000,2975.0,3001.95,2947.0,2974.9500,2975.6,2973.9200,-2.5000,-0.0840,216805.0000,11.1761,102092.0000,47.0900,0.83,0.25,1.0,0.3
4287,2022-12-05 18:30:00+00:00,abb,2975.6000,2974.95,2994.9,2936.7,2942.0000,2944.1,2957.1300,-31.5000,-1.0699,238124.0000,10.0512,124709.0000,52.3700,0.74,0.31,1.1,0.33
4456,2022-12-06 18:30:00+00:00,abb,2944.1000,2925.0,2995.0,2921.0,2971.5000,2969.05,2964.3000,24.9500,0.8403,428075.0000,12.0871,198569.0000,46.3900,0.88,0.48,0.97,0.59
4716,2022-12-07 18:30:00+00:00,abb,2969.0500,2989.9,2994.45,2960.3,2989.0000,2988.35,2978.9100,19.3000,0.6458,224644.0000,12.8324,101008.0000,44.9600,0.92,0.25,0.92,0.31
4784,2022-12-08 18:30:00+00:00,abb,2988.3500,3010.0,3035.8,2940.0,2970.0000,2976.65,2996.5500,-11.7000,-0.3931,329565.0000,13.4522,122308.0000,37.1100,0.95,0.31,0.76,0.47
5092,2022-12-11 18:30:00+00:00,abb,2976.6500,2978.95,2999.55,2945.0,2989.9500,2991.4,2973.0500,14.7500,0.4931,197711.0000,9.3352,91099.0000,46.0800,0.66,0.23,0.94,0.29
169,2022-11-02 18:30:00+00:00,abbotindia,19609.3000,19501.05,19990.0,19492.5,19900.0000,19950.65,19768.5900,341.3500,1.7110,26922.0000,5.6299,13792.0000,51.2300,,,,
199,2022-11-03 18:30:00+00:00,abbotindia,19950.6500,19939.0,19939.0,19405.0,19474.9500,19481.8,19590.0300,-468.8500,-2.4066,15202.0000,4.7241,9090.0000,59.7900,,,,
476,2022-11-06 18:30:00+00:00,abbotindia,19481.8000,19500.0,19510.0,19175.0,19330.0000,19330.2,19339.2200,-151.6000,-0.7843,9495.0000,2.2634,2972.0000,31.3000,,,,
698,2022-11-08 18:30:00+00:00,abbotindia,19330.2000,19440.0,19440.0,19125.0,19289.9500,19222.25,19286.1700,-107.9500,-0.5616,9689.0000,1.9550,4520.0000,46.6500,,,,
773,2022-11-09 18:30:00+00:00,abbotindia,19222.2500,19219.95,19570.0,19143.75,19175.1500,19238.85,19350.0500,16.6000,0.0863,9766.0000,2.2936,2343.0000,23.9900,,,,
980,2022-11-10 18:30:00+00:00,abbotindia,19238.8500,19449.0,19550.0,19150.0,19201.0000,19315.8,19390.0700,76.9500,0.3984,7385.0000,2.1319,2590.0000,35.0700,,,,
1235,2022-11-13 18:30:00+00:00,abbotindia,19315.8000,19431.65,20108.5,19215.05,19848.0000,19939.3,19784.0400,623.5000,3.1270,52058.0000,3.4110,12672.0000,24.3400,,,,
1388,2022-11-14 18:30:00+00:00,abbotindia,19939.3000,20001.05,20138.85,19501.25,19631.0000,19651.45,19742.6100,-287.8500,-1.4648,16611.0000,2.8874,3810.0000,22.9400,,,,
1636,2022-11-15 18:30:00+00:00,abbotindia,19651.4500,19774.0,19864.9,19450.0,19477.5000,19532.25,19575.4500,-119.2000,-0.6103,9671.0000,2.5061,2832.0000,29.2800,,,,
1865,2022-11-16 18:30:00+00:00,abbotindia,19532.2500,19519.0,19572.6,19425.0,19522.8000,19493.95,19492.4500,-38.3000,-0.1965,5155.0000,2.4903,1583.0000,30.7100,,,,
1954,2022-11-17 18:30:00+00:00,abbotindia,19493.9500,19530.0,19799.45,19226.45,19779.0000,19741.25,19597.9300,247.3000,1.2527,15794.0000,3.3973,7543.0000,47.7600,,,,
2204,2022-11-20 18:30:00+00:00,abbotindia,19741.2500,19840.0,19950.0,19362.15,19544.6000,19592.5,19609.4500,-148.7500,-0.7592,13838.0000,3.1479,3063.0000,22.1300,,,,
2327,2022-11-21 18:30:00+00:00,abbotindia,19592.5000,19600.0,19770.05,19502.55,19750.0000,19730.8,19672.3900,138.3000,0.7009,8493.0000,2.4617,2886.0000,33.9800,,,,
2508,2022-11-22 18:30:00+00:00,abbotindia,19730.8000,19720.0,20195.0,19638.1,20000.0000,20037.15,20021.9400,306.3500,1.5289,19234.0000,3.1829,7960.0000,41.3900,,,,
2694,2022-11-23 18:30:00+00:00,abbotindia,20037.1500,20050.0,20350.0,20014.6,20209.9500,20194.25,20172.2700,157.1000,0.7779,15366.0000,4.6311,9820.0000,63.9100,,,,
2956,2022-11-24 18:30:00+00:00,abbotindia,20194.2500,20194.25,20325.0,19937.95,20291.0000,20267.5,20198.7800,73.2500,0.3614,11978.0000,3.1604,5168.0000,43.1500,,,,
3029,2022-11-27 18:30:00+00:00,abbotindia,20267.5000,20170.95,20303.0,20016.1,20143.2500,20130.75,20158.5800,-136.7500,-0.6793,11324.0000,2.4575,5925.0000,52.3200,,,,
3239,2022-11-28 18:30:00+00:00,abbotindia,20130.7500,20089.25,20224.9,20089.25,20200.0000,20169.55,20164.3000,38.8000,0.1924,5962.0000,2.1508,2271.0000,38.0900,,,,
3551,2022-11-29 18:30:00+00:00,abbotindia,20169.5500,20140.0,20346.5,20110.3,20239.7500,20237.8,20234.4100,68.2500,0.3372,8745.0000,3.0124,3686.0000,42.1500,,,,
3728,2022-11-30 18:30:00+00:00,abbotindia,20237.8000,20235.7,20635.0,20200.0,20430.9000,20555.65,20487.3800,317.8500,1.5463,14353.0000,2.6798,5259.0000,36.6400,0.88,0.96,0.94,1.0
3814,2022-12-01 18:30:00+00:00,abbotindia,20555.6500,20550.0,20550.0,20100.0,20250.0000,20182.9,20265.0200,-372.7500,-1.8469,9399.0000,2.5638,2707.0000,28.8000,0.89,0.55,0.76,0.7
4049,2022-12-04 18:30:00+00:00,abbotindia,20182.9000,20183.0,20279.8,19951.1,20100.0000,20059.4,20101.0700,-123.5000,-0.6157,7824.0000,2.3788,1697.0000,21.6900,0.86,0.37,0.61,0.6
4329,2022-12-05 18:30:00+00:00,abbotindia,20059.4000,20054.0,20325.0,20003.0,20200.0000,20196.2,20173.4900,136.8000,0.6774,9908.0000,3.1828,4004.0000,40.4100,1.14,0.87,1.11,0.75
4430,2022-12-06 18:30:00+00:00,abbotindia,20196.2000,20245.0,20317.35,20172.1,20200.0500,20208.95,20216.5900,12.7500,0.0631,5492.0000,3.7514,2497.0000,45.4700,1.3,0.55,1.26,0.43
4682,2022-12-07 18:30:00+00:00,abbotindia,20208.9500,20220.0,20580.1,20155.65,20310.0000,20387.1,20439.6200,178.1500,0.8738,14082.0000,2.8692,5146.0000,36.5400,0.98,1.11,0.99,1.07
4738,2022-12-08 18:30:00+00:00,abbotindia,20387.1000,20402.0,20749.0,20300.0,20500.0000,20436.15,20542.2100,49.0500,0.2400,14234.0000,2.6630,3605.0000,25.3300,0.9,0.77,0.7,1.06
4957,2022-12-11 18:30:00+00:00,abbotindia,20436.1500,20430.0,20650.0,20252.3,20510.5500,20516.85,20519.5400,80.7000,0.3933,7976.0000,2.2782,1974.0000,24.7500,0.79,0.47,0.68,0.71
68,2022-11-02 18:30:00+00:00,abcapital,117.9500,116.5,120.25,116.5,119.9000,119.75,119.3600,1.8000,1.5031,3471570.0000,191.1237,1714700.0000,49.3900,,,,
274,2022-11-03 18:30:00+00:00,abcapital,119.7500,120.2,124.5,119.0,124.4000,124.15,122.3500,4.4000,3.5441,6611650.0000,184.8534,2951386.0000,44.6400,,,,
381,2022-11-06 18:30:00+00:00,abcapital,124.1500,125.0,129.8,123.15,128.3000,128.5,127.5900,4.3500,3.3852,13578470.0000,202.5851,4149406.0000,30.5600,,,,
733,2022-11-08 18:30:00+00:00,abcapital,128.5000,129.9,131.65,128.0,130.2500,130.6,129.9400,2.1000,1.6080,8057127.0000,168.6862,2914190.0000,36.1700,,,,
880,2022-11-09 18:30:00+00:00,abcapital,130.6000,129.95,133.5,127.2,129.2000,129.25,130.2200,-1.3500,-1.0445,5463323.0000,152.6153,1779772.0000,32.5800,,,,
1063,2022-11-10 18:30:00+00:00,abcapital,129.2500,130.95,131.2,127.65,128.7500,128.45,129.1200,-0.8000,-0.6228,3034526.0000,168.4351,1258383.0000,41.4700,,,,
1182,2022-11-13 18:30:00+00:00,abcapital,128.4500,128.5,131.3,127.05,130.1000,130.4,129.8300,1.9500,1.4954,4796492.0000,211.9247,2701966.0000,56.3300,,,,
1473,2022-11-14 18:30:00+00:00,abcapital,130.4000,130.1,130.95,127.2,127.9500,128.1,128.4000,-2.3000,-1.7955,3026779.0000,139.9149,1472376.0000,48.6400,,,,
1564,2022-11-15 18:30:00+00:00,abcapital,128.1000,128.0,128.9,124.3,125.3500,125.7,126.4600,-2.4000,-1.9093,2655707.0000,153.9540,1231290.0000,46.3600,,,,
1758,2022-11-16 18:30:00+00:00,abcapital,125.7000,125.0,126.65,123.8,125.2000,125.8,125.2300,0.1000,0.0795,1601921.0000,130.8225,547163.0000,34.1600,,,,
1995,2022-11-17 18:30:00+00:00,abcapital,125.8000,125.5,125.9,123.1,125.0500,125.0,124.4500,-0.8000,-0.6400,1756501.0000,132.7264,632538.0000,36.0100,,,,
2135,2022-11-20 18:30:00+00:00,abcapital,125.0000,124.0,126.75,123.6,126.1500,126.35,125.2100,1.3500,1.0685,2093279.0000,159.5001,853198.0000,40.7600,,,,
2289,2022-11-21 18:30:00+00:00,abcapital,126.3500,126.85,127.5,125.2,125.4000,125.7,126.2300,-0.6500,-0.5171,1459942.0000,147.4838,500848.0000,34.3100,,,,
2609,2022-11-22 18:30:00+00:00,abcapital,125.7000,126.0,129.85,125.7,128.9000,129.0,128.0300,3.3000,2.5581,3021224.0000,160.4559,1189017.0000,39.3600,,,,
2702,2022-11-23 18:30:00+00:00,abcapital,129.0000,129.65,130.05,128.35,128.9000,128.95,129.1000,-0.0500,-0.0388,3658617.0000,180.8242,1852024.0000,50.6200,,,,
2943,2022-11-24 18:30:00+00:00,abcapital,128.9500,129.0,136.0,128.95,135.7500,135.3,132.6800,6.3500,4.6933,13245307.0000,195.5373,5991940.0000,45.2400,,,,
3119,2022-11-27 18:30:00+00:00,abcapital,135.3000,136.4,138.3,135.0,136.9500,137.05,136.8400,1.7500,1.2769,7666715.0000,179.9910,2043454.0000,26.6500,,,,
3346,2022-11-28 18:30:00+00:00,abcapital,137.0500,137.15,147.55,137.0,144.0000,144.1,144.0800,7.0500,4.8924,28477714.0000,226.3100,8175375.0000,28.7100,,,,
3527,2022-11-29 18:30:00+00:00,abcapital,144.1000,144.45,146.65,143.55,145.3500,145.35,145.1600,1.2500,0.8600,7241278.0000,163.2499,2647506.0000,36.5600,,,,
3634,2022-11-30 18:30:00+00:00,abcapital,145.3500,146.0,148.0,144.4,145.6000,145.7,145.9100,0.3500,0.2402,5916057.0000,164.8845,1974168.0000,33.3700,0.97,0.85,0.84,0.93
3842,2022-12-01 18:30:00+00:00,abcapital,145.7000,145.25,153.3,145.0,151.3500,151.7,150.5100,6.0000,3.9552,16353750.0000,189.6725,5397459.0000,33.0000,1.11,2.15,0.85,2.34
4007,2022-12-04 18:30:00+00:00,abcapital,151.7000,152.5,159.2,151.5,158.4500,158.65,156.0400,6.9500,4.3807,18326577.0000,205.5494,5806587.0000,31.6800,1.2,2.19,0.83,2.42
4237,2022-12-05 18:30:00+00:00,abcapital,158.6500,158.5,161.25,156.55,158.6000,158.45,158.5800,-0.2000,-0.1262,11192515.0000,215.3069,3374147.0000,30.1500,1.25,1.29,0.79,1.5
4484,2022-12-06 18:30:00+00:00,abcapital,158.4500,158.15,161.7,157.7,159.1000,159.55,159.7400,1.1000,0.6894,7365362.0000,195.2641,2250644.0000,30.5600,1.12,0.87,0.81,0.99
4592,2022-12-07 18:30:00+00:00,abcapital,159.5500,159.55,162.45,158.65,160.8000,160.8,160.9700,1.2500,0.7774,5081341.0000,170.1950,1652071.0000,32.5100,0.97,0.64,0.86,0.69
4830,2022-12-08 18:30:00+00:00,abcapital,160.8000,161.6,161.6,153.35,156.3500,156.0,156.5300,-4.8000,-3.0769,7830852.0000,202.7353,2985010.0000,38.1200,1.15,1.12,1.01,1.03
5035,2022-12-11 18:30:00+00:00,abcapital,156.0000,153.5,157.65,153.3,156.6000,157.1,155.8300,1.1000,0.7002,4760869.0000,194.2578,1502297.0000,31.5600,1.11,0.58,0.87,0.62
79,2022-11-02 18:30:00+00:00,abfrl,351.6000,348.5,356.2,345.6,352.7500,352.4,352.0900,0.8000,0.2270,974781.0000,74.5873,264193.0000,27.1000,,,,
201,2022-11-03 18:30:00+00:00,abfrl,352.4000,354.0,355.9,325.35,330.6500,329.15,336.9000,-23.2500,-7.0636,6263664.0000,105.7069,1711388.0000,27.3200,,,,
392,2022-11-06 18:30:00+00:00,abfrl,329.1500,322.05,331.65,317.1,320.5000,320.4,322.0100,-8.7500,-2.7310,4268684.0000,75.4464,1460972.0000,34.2300,,,,
603,2022-11-08 18:30:00+00:00,abfrl,320.4000,322.1,323.35,310.0,312.5000,312.25,313.5300,-8.1500,-2.6101,5315193.0000,116.0877,2971619.0000,55.9100,,,,
872,2022-11-09 18:30:00+00:00,abfrl,312.2500,312.0,314.85,307.4,314.0000,313.7,310.5500,1.4500,0.4622,1933209.0000,62.3998,736667.0000,38.1100,,,,
1034,2022-11-10 18:30:00+00:00,abfrl,313.7000,315.3,320.0,312.1,318.6000,318.9,316.2700,5.2000,1.6306,3160442.0000,92.0285,1186692.0000,37.5500,,,,
